Kategori,Pesan,cleaned_text,label
Spam,88800 dan 89034 adalah layanan telepon premium yang 08718711108,dan adalah layanan telepon premium yang,1
Spam,HADIAH A £ 400 XMAS SEDANG MENUNGGU UNTUK ANDA! Komputer kami telah secara acak memilih Anda dari pelanggan setia ponsel kami untuk menerima hadiah Â £ 400. Hubungi saja 09066380611,hadiah a xmas sedang menunggu untuk anda komputer kami telah secara acak memilih anda dari pelanggan setia ponsel kami untuk menerima hadiah hubungi saja,1
ham,"Sebuah kutipan terkenal: ketika Anda mengembangkan kemampuan untuk mendengarkan 'apa pun' tanpa syarat tanpa kehilangan kesabaran atau kepercayaan diri, itu berarti Anda ......... 'MENIKAH'",sebuah kutipan terkenal ketika anda mengembangkan kemampuan untuk mendengarkan apa pun tanpa syarat tanpa kehilangan kesabaran atau kepercayaan diri itu berarti anda menikah,0
ham,"Satu gram biasanya berjalan seperti <#> , setengah kedelapan lebih pintar dan memberi Anda hampir satu gram kedua untuk <#>",satu gram biasanya berjalan seperti setengah kedelapan lebih pintar dan memberi anda hampir satu gram kedua untuk,0
Spam,Tautan ke gambar Anda telah dikirim. Anda juga dapat menggunakan http://alto18.co.uk/wave/wave.asp?o=44345,tautan ke gambar anda telah dikirim anda juga dapat menggunakan,1
ham,"Sebuah swt berpikir: ""Nver bosan melakukan hal-hal kecil 4 orang yang menyenangkan .."" Coz.. terkadang hal-hal kecil itu menempati d bagian terbesar di Hati mereka .. Gud ni8",sebuah swt berpikir nver bosan melakukan hal hal kecil orang yang menyenangkan coz terkadang hal hal kecil itu menempati d bagian terbesar di hati mereka gud ni,0
ham,"Aaooooright, apakah Anda sedang bekerja?",aaooooright apakah anda sedang bekerja,0
ham,aathi.. dimana kamu sayang..,aathi dimana kamu sayang,0
Spam,"Sesuai. Saya ulangi, cukup ketik kata ok di ponsel Anda dan kirim",sesuai saya ulangi cukup ketik kata ok di ponsel anda dan kirim,1
ham,Sebenarnya bersiap-siap untuk meninggalkan rumah.,sebenarnya bersiap siap untuk meninggalkan rumah,0
ham,Sebenarnya saya menghapus situs web lama saya .. sekarang saya blogging di magicalsongs.blogspot.com,sebenarnya saya menghapus situs web lama saya sekarang saya blogging di magicalsongs blogspot com,0
Spam,Konten Dewasa 18 Video Anda akan segera bersama Anda,konten dewasa video anda akan segera bersama anda,1
ham,Setelah saya menyelesaikan makan siang saya kemudian saya pergi str down lor. Ard 3 smth lor. Kamu sudah selesai makan siang?,setelah saya menyelesaikan makan siang saya kemudian saya pergi str down lor ard smth lor kamu sudah selesai makan siang,0
ham,Ah kotoran. Sepertinya sakit prob harus mengirim laptop saya untuk mendapatkan tetap cuz itu memiliki masalah gpu,ah kotoran sepertinya sakit prob harus mengirim laptop saya untuk mendapatkan tetap cuz itu memiliki masalah gpu,0
ham,AH SAYANG YANG MALANG! SEMOGA URFEELING BETTERSN LUV! PROBTHAT OVERDOSIS KERJA HEY PERGI HATI-HATI SPK 2 U SN BANYAK LOVEJEN XXX.,ah sayang yang malang semoga urfeeling bettersn luv probthat overdosis kerja hey pergi hati hati spk u sn banyak lovejen xxx,0
ham,Ahhh. Kerja. Samar-samar aku ingat itu! Bagaimana rasanya? Wakakak,ahhh kerja samar samar aku ingat itu bagaimana rasanya wakakak,0
ham,Aight sakit mendapatkan di fb dalam beberapa menit,aight sakit mendapatkan di fb dalam beberapa menit,0
ham,"Aight tidak terburu-buru, aku akan bertanya pada jay",aight tidak terburu buru aku akan bertanya pada jay,0
ham,Aight maaf aku butuh sepuluh tahun untuk mandi. Apa rencananya?,aight maaf aku butuh sepuluh tahun untuk mandi apa rencananya,0
ham,"Aight akan melakukannya, terima kasih lagi untuk komin keluar",aight akan melakukannya terima kasih lagi untuk komin keluar,0
ham,"Aight yo, dats lurus dogg",aight yo dats lurus dogg,0
ham,"Aight, saya akan memukul Anda ketika saya mendapatkan uang tunai",aight saya akan memukul anda ketika saya mendapatkan uang tunai,0
ham,"Aight, Anda dekat atau masih di sekitar tempat alex?",aight anda dekat atau masih di sekitar tempat alex,0
ham,Aiyah maaf lor... Saya menonton tv menonton sampai saya lupa 2 periksa ponsel saya.,aiyah maaf lor saya menonton tv menonton sampai saya lupa periksa ponsel saya,0
ham,Aiyah u memang ok udah lar. E nydc di wheellock?,aiyah u memang ok udah lar e nydc di wheellock,0
ham,Aiyar maaf lor lupa 2 katakan padamu ...,aiyar maaf lor lupa katakan padamu,0
ham,"Aiyo... U selalu c mantan kami satu ... Aku dunno abt mei, dia haven menjawab ... Pertama kali Anda membalas begitu cepat ... Y sangat beruntung tidak bekerja di ya, mendapat bao oleh sugardad Anda ah ... Gee..",aiyo u selalu c mantan kami satu aku dunno abt mei dia haven menjawab pertama kali anda membalas begitu cepat y sangat beruntung tidak bekerja di ya mendapat bao oleh sugardad anda ah gee,0
ham,"Al dia lakukan adalah mengerang padaku jika n e tipis salah itu salahku & al de argumen r kesalahanku &mu dia dari himso y repot? Hav 2go, thanx.xx",al dia lakukan adalah mengerang padaku jika n e tipis salah itu salahku al de argumen r kesalahanku mu dia dari himso y repot hav go thanx xx,0
ham,Semua selesai? Semua diserahkan? Perayaan berjalan lancar belum?,semua selesai semua diserahkan perayaan berjalan lancar belum,0
ham,Semua e terbaik 4 tmr mengemudi Anda :-),semua e terbaik tmr mengemudi anda,0
ham,Semua e terbaik 4 ujian Anda nanti.,semua e terbaik ujian anda nanti,0
Spam,"semua yang terbaru dari Stereophonics, Marley, Dizzee Racal, Libertines dan The Strokes! Menangkan game Nookii dengan Flirt!! Klik TheMob WAP Bookmark atau teks WAP ke 82468",semua yang terbaru dari stereophonics marley dizzee racal libertines dan the strokes menangkan game nookii dengan flirt klik themob wap bookmark atau teks wap ke,1
ham,Semua baik-baik saja sampai kelas yang sedikit bencana sore ini dengan kekasih favorit saya! Semoga hari libur ok. Kopi akan baik karena tidak bisa tinggal terlambat besok. Waktu + tempat yang sama seperti biasa?,semua baik baik saja sampai kelas yang sedikit bencana sore ini dengan kekasih favorit saya semoga hari libur ok kopi akan baik karena tidak bisa tinggal terlambat besok waktu tempat yang sama seperti biasa,0
ham,Semua akan menjadi hidup.lebih baik memperbaiki setiap sosok tampan di sana sendiri..,semua akan menjadi hidup lebih baik memperbaiki setiap sosok tampan di sana sendiri,0
ham,Allo! Kami telah menerjang bus dan naik kereta api dan menang. Maksudku weâ € ̃re di bâ € ̃ham. Selamat beristirahat minggu ini,allo kami telah menerjang bus dan naik kereta api dan menang maksudku we re di b ham selamat beristirahat minggu ini,0
ham,"Hampir sampai, sampai jumpa sebentar lagi",hampir sampai sampai jumpa sebentar lagi,0
ham,Baiklah saya punya tujuan baru sekarang,baiklah saya punya tujuan baru sekarang,0
ham,"Baiklah omw, harus mengubah pesanan saya menjadi setengah 8",baiklah omw harus mengubah pesanan saya menjadi setengah,0
ham,"Baiklah, aku akan keluar dalam beberapa menit, mengirimiku SMS ke mana harus bertemu denganmu",baiklah aku akan keluar dalam beberapa menit mengirimiku sms ke mana harus bertemu denganmu,0
ham,"baiklah, aku akan memastikan mobilnya kembali malam ini",baiklah aku akan memastikan mobilnya kembali malam ini,0
ham,Alright. Aku keluar - selamat malam!,alright aku keluar selamat malam,0
ham,Juga apakah Anda membawa galileo atau dobby,juga apakah anda membawa galileo atau dobby,0
ham,Juga maaaan apakah Anda kehilangan,juga maaaan apakah anda kehilangan,0
ham,Juga ingat untuk mengambil mangkuk dobby dari mobil Anda,juga ingat untuk mengambil mangkuk dobby dari mobil anda,0
ham,"Meskipun saya mengatakan kepada u dat saya ke baig wajah menonton sekarang tapi saya benar-benar suka e menonton u memberi cos itu fr u. Thanx 4 semua dat u telah dilakukan hari ini, aku tersentuh ...",meskipun saya mengatakan kepada u dat saya ke baig wajah menonton sekarang tapi saya benar benar suka e menonton u memberi cos itu fr u thanx semua dat u telah dilakukan hari ini aku tersentuh,0
ham,Saya juga melakukan di cbe saja. Tapi harus membayar.,saya juga melakukan di cbe saja tapi harus membayar,0
ham,Apakah saya sangat buruk untuk menghindari seperti ini?,apakah saya sangat buruk untuk menghindari seperti ini,0
ham,Apakah saya satu-satunya yang tidak menguntit profil?,apakah saya satu satunya yang tidak menguntit profil,0
Spam,Saya baru 2 klub & jangan fink kita bertemu belum Will B gr8 2 C U Silakan tinggalkan msg 2day wiv daerah Anda 09099726553 balasan dijanjikan CARLIE x Panggilanâ £ 1 / minMobsmore LKPOBOX177HP51FL,saya baru klub jangan fink kita bertemu belum will b gr c u silakan tinggalkan msg day wiv daerah anda balasan dijanjikan carlie x panggilan minmobsmore lkpobox hp fl,1
ham,Saya tidak tertarik untuk melakukan seperti itu.,saya tidak tertarik untuk melakukan seperti itu,0
ham,Dan juga aku sudah agak meledakkannya beberapa kali baru-baru ini jadi aku lebih suka tidak mengirim sms tiba-tiba mencari gulma,dan juga aku sudah agak meledakkannya beberapa kali baru baru ini jadi aku lebih suka tidak mengirim sms tiba tiba mencari gulma,0
ham,Dan apakah ada cara Anda dapat mengirim barang-barang bayangan kepadanya. Dan dia juga luar biasa.,dan apakah ada cara anda dapat mengirim barang barang bayangan kepadanya dan dia juga luar biasa,0
ham,Mengganggu bukan.,mengganggu bukan,0
ham,"Satu bulan lagi. Saya butuh cokelat, gulma, dan alkohol.",satu bulan lagi saya butuh cokelat gulma dan alkohol,0
ham,Setiap kesempatan yang mungkin Anda miliki dengan saya menguap segera setelah Anda melanggar privasi saya dengan mencuri nomor telepon saya dari dokumen majikan Anda. Tidak keren sama sekali. Tolong jangan hubungi saya lagi atau saya akan melaporkan Anda ke atasan Anda.,setiap kesempatan yang mungkin anda miliki dengan saya menguap segera setelah anda melanggar privasi saya dengan mencuri nomor telepon saya dari dokumen majikan anda tidak keren sama sekali tolong jangan hubungi saya lagi atau saya akan melaporkan anda ke atasan anda,0
ham,"Ada rasa sakit saat buang air kecil, ada hal lain?",ada rasa sakit saat buang air kecil ada hal lain,0
ham,Apa saja lor... U memutuskan ...,apa saja lor u memutuskan,0
ham,"Bagaimanapun, saya akan berbelanja sendiri sekarang. Cos sis saya belum selesai. Dun mengganggu u liao.",bagaimanapun saya akan berbelanja sendiri sekarang cos sis saya belum selesai dun mengganggu u liao,0
ham,Ãœ dun perlu memilih pacar Anda?,dun perlu memilih pacar anda,0
ham,Ãœ log off 4 wat. Ini sdryb8i,log off wat ini sdryb i,0
ham,Ãœ memprediksi waktu Ã 1/4 akan selesai membeli?,memprediksi waktu akan selesai membeli,0
ham,Ãœ mengatakan sampai seperti dat i dun membeli ericsson oso tidak bisa oredi lar ...,mengatakan sampai seperti dat i dun membeli ericsson oso tidak bisa oredi lar,0
ham,Ãœ tunggu 4 saya di sch saya selesai ard 5..,tunggu saya di sch saya selesai ard,0
ham,Appt ada di < WAKTU> Am. Bukan salahku u tidak mendengarkan. Aku bilang dua kali,appt ada di waktu am bukan salahku u tidak mendengarkan aku bilang dua kali,0
ham,Ard 515 seperti dat. Y?,ard seperti dat y,0
ham,Apakah kamu marah padaku. Apa yang terjadi sayang,apakah kamu marah padaku apa yang terjadi sayang,0
ham,Apakah Anda tersedia untuk soiree pada tanggal 3 Juni?,apakah anda tersedia untuk soiree pada tanggal juni,0
ham,Apakah Anda bebas sekarang?dapatkah saya menelepon sekarang?,apakah anda bebas sekarang dapatkah saya menelepon sekarang,0
ham,Apakah Anda di kastor? Anda perlu melihat sesuatu,apakah anda di kastor anda perlu melihat sesuatu,0
ham,Apakah Anda tidak ada atau masih tidur? :V,apakah anda tidak ada atau masih tidur v,0
ham,Apakah Anda ada di kamar.,apakah anda ada di kamar,0
ham,Apakah Anda ini banyak buzy,apakah anda ini banyak buzy,0
Spam,Apakah Anda cukup unik? Cari tahu dari 30 Agustus. www.areyouunique.co.uk,apakah anda cukup unik cari tahu dari agustus,1
ham,Apakah Anda bersedia mengikuti kelas bakat.,apakah anda bersedia mengikuti kelas bakat,0
ham,"Lengan baik-baik saja, bagaimana kabar Cardiff dan uni?",lengan baik baik saja bagaimana kabar cardiff dan uni,0
ham,"Arngd pernikahan adalah sementara Anda berjalan malang ular menggigit u. bt cinta pernikahan menari di frnt dari d ular & mengatakan Gigit aku, gigit aku.",arngd pernikahan adalah sementara anda berjalan malang ular menggigit u bt cinta pernikahan menari di frnt dari d ular mengatakan gigit aku gigit aku,0
Spam,"Sebagai pelanggan optin terdaftar, voucher hadiah undian 4 â £ 100 Anda akan dimasukkan setelah menerima ans yang benar ke 80062 Whats No1 di tangga lagu BBC",sebagai pelanggan optin terdaftar voucher hadiah undian anda akan dimasukkan setelah menerima ans yang benar ke whats no di tangga lagu bbc,1
Spam,Sebagai Pelanggan Terdaftar tahun menggambar 4 voucher hadiah Â £ 100 akan dimasukkan pada saat menerima ans yang benar. Kapan olimpiade berikutnya. Txt ans ke 80062,sebagai pelanggan terdaftar tahun menggambar voucher hadiah akan dimasukkan pada saat menerima ans yang benar kapan olimpiade berikutnya txt ans ke,1
Spam,"Sebagai pelanggan SIM, Anda dipilih untuk menerima Bonus! Dapatkan itu dikirim ke pintu Anda, Txt kata OK ke No: 88600 untuk mengklaim. 150p/msg, EXP. 30Apr",sebagai pelanggan sim anda dipilih untuk menerima bonus dapatkan itu dikirim ke pintu anda txt kata ok ke no untuk mengklaim p msg exp apr,1
Spam,"Sebagai pelanggan yang berharga, saya senang memberi tahu Anda bahwa setelah ulasan terbaru tentang Mob No Anda. Anda diberikan Hadiah Bonus Â £ 1500, hubungi 09066364589",sebagai pelanggan yang berharga saya senang memberi tahu anda bahwa setelah ulasan terbaru tentang mob no anda anda diberikan hadiah bonus hubungi,1
Spam,"Sebagai pelanggan yang berharga, saya senang memberi tahu Anda bahwa setelah ulasan terbaru tentang Mob No Anda. Anda diberikan Hadiah Bonus Â £ 1500, hubungi 09066368470",sebagai pelanggan yang berharga saya senang memberi tahu anda bahwa setelah ulasan terbaru tentang mob no anda anda diberikan hadiah bonus hubungi,1
ham,"Ketika saya memasuki kabin saya, PA saya berkata, '' Selamat B'day Boss !!''. Saya merasa istimewa. Dia bertanya padaku 4 makan siang. Setelah makan siang dia mengundang saya ke apartemennya. Kami pergi ke sana.",ketika saya memasuki kabin saya pa saya berkata selamat b day boss saya merasa istimewa dia bertanya padaku makan siang setelah makan siang dia mengundang saya ke apartemennya kami pergi ke sana,0
Spam,"Sebagai salah satu pelanggan terdaftar kami, Anda dapat mengikuti undian 4 voucher hadiah 100 G.B. dengan membalas dengan ENTER. Untuk berhenti berlangganan teks STOP",sebagai salah satu pelanggan terdaftar kami anda dapat mengikuti undian voucher hadiah g b dengan membalas dengan enter untuk berhenti berlangganan teks stop,1
ham,"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai callertune Anda untuk semua Penelepon. Tekan *9 untuk menyalin teman Anda Callertune",sesuai permintaan anda melle melle oru minnaminunginte nurungu vettam telah ditetapkan sebagai callertune anda untuk semua penelepon tekan untuk menyalin teman anda callertune,0
ham,"Tanya g atau iouri, saya sudah menceritakan kisah seperti sepuluh kali",tanya g atau iouri saya sudah menceritakan kisah seperti sepuluh kali,0
